"","la_name","age","la_total"
"791","East Riding of Yorkshire","Age 18",9
"792","East Riding of Yorkshire","Age 19 plus",0
"793","East Riding of Yorkshire","Age 2",0
"794","East Riding of Yorkshire","Age 3",1
"795","East Riding of Yorkshire","Age 4",0
"796","East Riding of Yorkshire","Age 5",1
"797","East Riding of Yorkshire","Age 6",4
"798","East Riding of Yorkshire","Age 7",10
"799","East Riding of Yorkshire","Age 8",4
"800","East Riding of Yorkshire","Age 9",8
"801","East Sussex","Age 0",0
"802","East Sussex","Age 1",0
"803","East Sussex","Age 10",34
"804","East Sussex","Age 11",72
"805","East Sussex","Age 12",55
"806","East Sussex","Age 13",86
"807","East Sussex","Age 14",65
"808","East Sussex","Age 15",51
"809","East Sussex","Age 16",29
"810","East Sussex","Age 17",26
"811","East Sussex","Age 18",16
"812","East Sussex","Age 19 plus",0
"813","East Sussex","Age 2",0
"814","East Sussex","Age 3",0
"815","East Sussex","Age 4",0
"816","East Sussex","Age 5",5
"817","East Sussex","Age 6",12
"818","East Sussex","Age 7",25
"819","East Sussex","Age 8",16
"820","East Sussex","Age 9",27
"821","Enfield","Age 0",0
"822","Enfield","Age 1",0
"823","Enfield","Age 10",28
"824","Enfield","Age 11",44
